timestep,direkt_horizontal_W_m2,diffuse_horizontal_W_m2,temp_amb,global_horizontal_W_m2
230,82.81,72.13,5.52,154.94
231,107.93,48.24,5.59,156.17
232,0,0,5,0
233,0,0,4.22,0
234,0,0,3.95,0
235,0,0,3.75,0
236,0,0,3.84,0
237,0,0,3.91,0
238,0,0,4.08,0
239,0,0,4.07,0
240,0,0,4.02,0
241,0,0,4.05,0
242,0,0,3.98,0
243,0,0,4.29,0
244,0,0,4.75,0
245,0,0,5.25,0
246,0,0,5.76,0
247,0,0,6.34,0
248,0,1.25,6.16,1.25
249,0,7.52,6.67,7.52
250,0,15.94,7.08,15.94
251,0,17.28,7.46,17.28
252,0,17.11,7.8,17.11
253,0,14.82,8.01,14.82
254,0,12.66,8.08,12.66
255,0.77,9.72,8.1,10.49
256,0,0,7.85,0
257,0,0,7.23,0
258,0,0,6.41,0
259,0,0,5.86,0
260,0,0,5.94,0
261,0,0,5.63,0
262,0,0,5.29,0
263,0,0,5.16,0
264,0,0,4.81,0
265,0,0,4.73,0
266,0,0,5.01,0
267,0,0,5.46,0
268,0,0,5.55,0
269,0,0,5.9,0
270,0,0,6.06,0
271,0,0,6.24,0
272,0,3.02,6.71,3.02
273,0,18.92,6.74,18.92
274,0,30.79,6.71,30.79
275,0.35,34.65,6.67,35
276,0,27.78,6.76,27.78
277,2.66,30.57,7,33.23
278,0,20.51,7.35,20.51
279,0,7.67,7.61,7.67
280,0,0,7.78,0
281,0,0,7.88,0
282,0,0,7.94,0
283,0,0,7.96,0
284,0,0,8.08,0
285,0,0,8.13,0
286,0,0,8.19,0
287,0,0,8.23,0
288,0,0,8.24,0
289,0,0,8.21,0
290,0,0,8.32,0
291,0,0,8.38,0
292,0,0,8.45,0
293,0,0,8.53,0
294,0,0,8.22,0
295,0,0,7.99,0
296,0,2.82,7.88,2.82
297,0,19.12,7.68,19.12
298,0,54.63,7.54,54.63
299,13.19,63.4,7.6,76.59
300,110.67,75.3,7.82,185.97
301,186.15,89.82,7.93,275.97
302,130.92,90.13,7.76,221.05
303,137.94,55.62,7.41,193.56
304,0,0,6.81,0
305,0,0,6.18,0
306,0,0,6.16,0
307,0,0,6.2,0
308,0,0,5.71,0
309,0,0,5.24,0
310,0,0,5.3,0
311,0,0,5.51,0
312,0,0,5.47,0
313,0,0,5.52,0
314,0,0,5.16,0
315,0,0,5.13,0
316,0,0,5.04,0
317,0,0,5,0
318,0,0,4.92,0
319,0,0,4.75,0
320,0,7.09,4.13,7.09
321,0,42.18,4.05,42.18
322,0,67.55,4.51,67.55
323,0.46,89.24,5.18,89.7
324,0.9,66.97,5.91,67.87
325,0,28.58,6.11,28.58
326,0,23.38,6.09,23.38
327,0,10.01,6.18,10.01
328,0,0,6.48,0
329,0,0,6.86,0
330,0,0,7.14,0
331,0,0,7.41,0
332,0,0,7.42,0
333,0,0,7.59,0
334,0,0,7.86,0
335,0,0,8.19,0
336,0,0,8.62,0
337,0,0,8.89,0
338,0,0,9.02,0
339,0,0,8.92,0
340,0,0,8.33,0
341,0,0,6.81,0
342,0,0,5.55,0
343,0,0,4.79,0
344,0,5.15,4.76,5.15
345,0,38.48,4.66,38.48
346,0,76.76,4.74,76.76
347,4.17,103.69,4.9,107.86
348,8.16,97.04,4.99,105.2
349,12.29,91.14,5.05,103.43
350,139.27,90.72,5.13,229.99
351,163.17,67.62,5.26,230.79
352,0,0,5.02,0
353,0,0,4.47,0
354,0,0,4.22,0
355,0,0,3.93,0
356,0,0,3.86,0
357,0,0,3.68,0
358,0,0,3.42,0
359,0,0,3.15,0
360,0,0,2.91,0
361,0,0,2.73,0
362,0,0,2.47,0
363,0,0,2.24,0
364,0,0,2.25,0
365,0,0,2.14,0
366,0,0,2.13,0
367,0,0,1.84,0
368,0,7.41,1.62,7.41
369,0,44.56,2.13,44.56
370,0,71.17,2.69,71.17
371,12.49,89.71,3.33,102.2
372,35.99,124.98,4.12,160.97
373,48.39,123.23,4.65,171.62
374,34.63,77.7,5.06,112.33
375,6.99,27.48,4.93,34.47
376,0,4.83,4.8,4.83
377,0,0,4.48,0
378,0,0,4.33,0
379,0,0,3.84,0
380,0,0,3.85,0
381,0,0,3.57,0
382,0,0,3.01,0
383,0,0,2.72,0
384,0,0,2.74,0
385,0,0,2.65,0
386,0,0,2.58,0
387,0,0,2.44,0
388,0,0,2.01,0
389,0,0,1.84,0
390,0,0,1.65,0
391,0,0,1.29,0
392,0,6.36,0.91,6.36
393,0,37.51,0.7,37.51
394,0,64.08,0.9,64.08
395,19.9,60.72,1.54,80.62
396,108.18,84.02,1.96,192.2
397,174.65,90.2,2.28,264.85
398,176.03,94.88,2.45,270.91
399,146.63,59.99,2.39,206.62
400,0,5.03,1.78,5.03
401,0,0,0.68,0
402,0,0,0.53,0
403,0,0,-0.02,0
404,0,0,-0.41,0
405,0,0,-1.11,0
406,0,0,-1.39,0
407,0,0,-1.48,0
408,0,0,-2.04,0
409,0,0,-2.67,0
410,0,0,-3,0
411,0,0,-2.92,0
412,0,0,-2.92,0
413,0,0,-3.01,0
414,0,0,-3.07,0
415,0,0,-3.12,0
416,0,7.65,-3.2,7.65
417,0,47.62,-2.9,47.62
418,0,84.09,-1.33,84.09
419,11.93,85.43,0.18,97.36
420,94.05,89.27,1.07,183.32
421,185.4,96.12,1.63,281.52
422,212.2,88.03,1.85,300.23
423,173.92,71.23,1.5,245.15
424,0,5.96,0.36,5.96
425,0,0,-1.07,0
426,0,0,-2.43,0
427,0,0,-3.42,0
428,0,0,-4.17,0
429,0,0,-4.55,0
430,0,0,-4.75,0
431,0,0,-4.62,0
432,0,0,-4.15,0
433,0,0,-3.58,0
434,0,0,-3.31,0
435,0,0,-3.05,0
436,0,0,-2.79,0
437,0,0,-2.6,0
438,0,0,-2.42,0
439,0,0,-2.23,0
440,0,7.8,-1.42,7.8
441,0,46.57,-1.1,46.57
442,0,60.98,-0.67,60.98
443,9.58,97.25,-0.19,106.83
444,55.66,91.87,0.24,147.53
445,57.43,76.28,0.33,133.71
446,12.96,61.22,0.09,74.18
447,14.7,40.59,-0.15,55.29
448,0,4.07,-0.49,4.07
449,0,0,-1,0
450,0,0,-1.21,0
451,0,0,-1.45,0
452,0,0,-0.86,0
453,0,0,-0.69,0
454,0,0,-0.64,0
455,0,0,-0.61,0
456,0,0,-0.87,0
457,0,0,-0.98,0
458,0,0,-0.76,0
459,0,0,-0.88,0
460,0,0,-1.06,0
461,0,0,-1.59,0
462,0,0,-1.97,0
463,0,0,-2.63,0
464,0,8.01,-2.6,8.01
465,0,37.11,-2.9,37.11
466,0,55.87,-1.26,55.87
467,23.4,62.04,0.01,85.44
468,118.61,88.59,0.74,207.2
469,185.13,100.72,1.37,285.85
470,146.26,105,1.63,251.26
471,118.18,64.23,1.56,182.41
472,0,5.8,1.2,5.8
473,0,0,0.68,0
474,0,0,0.37,0
475,0,0,-0.13,0
476,0,0,-1.4,0
477,0,0,-2.49,0
478,0,0,-3.43,0
479,0,0,-4.22,0
480,0,0,-4.38,0
481,0,0,-4.19,0
482,0,0,-3.74,0
483,0,0,-3.25,0
484,0,0,-2.73,0
485,0,0,-2.71,0
486,0,0,-2.56,0
487,0,0,-2.55,0
488,0,5.15,-2.77,5.15
489,0,22.82,-2.58,22.82
490,0,48.63,-2.07,48.63
491,0.05,67.76,-1.56,67.81
492,0.07,59.72,-1.01,59.79
493,0.2,68.33,-0.69,68.53
494,2.55,72.85,-0.32,75.4
495,0.2,34.08,-0.03,34.28
496,0,4.68,-0.18,4.68
497,0,0,-0.31,0
498,0,0,-0.23,0
499,0,0,-0.23,0
500,0,0,-0.42,0
501,0,0,-0.55,0
502,0,0,-0.61,0
503,0,0,-0.62,0
504,0,0,-0.55,0
505,0,0,-0.44,0
506,0,0,-0.29,0
507,0,0,-0.23,0
508,0,0,-0.21,0
509,0,0,-0.25,0
510,0,0,-0.39,0
511,0,0,-0.39,0
512,0,3.47,-0.66,3.47
513,0,21.98,-0.65,21.98
514,0,60.1,-0.48,60.1
515,0.11,73.69,-0.07,73.8
516,1.88,79.73,0.15,81.61
517,3.56,64.7,0.37,68.26
518,23.03,56.31,0.39,79.34
519,1.57,30.61,0.42,32.18
520,0,4.54,0.23,4.54
521,0,0,-0.02,0
522,0,0,-0.15,0
523,0,0,-0.11,0
524,0,0,-0.45,0
525,0,0,-0.48,0
526,0,0,-0.57,0
527,0,0,-0.57,0
528,0,0,-0.51,0
529,0,0,-0.53,0
530,0,0,-0.95,0
531,0,0,-1.06,0
532,0,0,-1.11,0
533,0,0,-1.02,0
534,0,0,-1.03,0
535,0,0,-0.99,0
536,0,6.2,-0.94,6.2
537,0,28.62,-0.85,28.62
538,0,46.29,-0.62,46.29
539,0.02,57.28,-0.38,57.3
540,5.4,77.12,-0.25,82.52
541,6.82,78.66,0.09,85.48
542,1.25,65.34,0.28,66.59
543,3.84,23.26,0.36,27.1
544,0,5.82,0.2,5.82
545,0,0,0.04,0
546,0,0,0.03,0
547,0,0,-0.13,0
548,0,0,-0.3,0
549,0,0,-0.45,0
550,0,0,-0.49,0
551,0,0,-0.46,0
552,0,0,-0.51,0
553,0,0,-0.71,0
554,0,0,-0.76,0
555,0,0,-0.99,0
556,0,0,-1.03,0
557,0,0,-1.49,0
558,0,0,-1.49,0
559,0,0,-1.41,0
560,0,7.13,-1.88,7.13
561,0,39.49,-1.52,39.49
562,0,57.2,-1.17,57.2
563,1.64,97.96,-0.76,99.6
564,12.1,121.8,-0.27,133.9
565,4.6,86.14,0.18,90.74
566,3.29,63.62,0.35,66.91
567,15.39,38.25,0.38,53.64
568,0,5.42,0.19,5.42
569,0,0,-0.18,0
570,0,0,-0.88,0
571,0,0,-0.94,0
572,0,0,-1.94,0
573,0,0,-1.93,0
574,0,0,-1.91,0
575,0,0,-1.85,0
576,0,0,-1.92,0
577,0,0,-1.74,0
578,0,0,-1.94,0
579,0,0,-2.02,0
580,0,0,-2.36,0
581,0,0,-2.45,0
582,0,0,-2.87,0
583,0,0,-2.71,0
584,0,8.05,-2.81,8.05
585,0,43.47,-3.17,43.47
586,0,67.46,-2.44,67.46
587,5.6,99.13,-1.82,104.73
588,18.43,132,-1.38,150.43
589,23.4,110.42,-0.89,133.82
590,32.73,91,-0.77,123.73
591,22.6,51.09,-0.66,73.69
592,0,9.31,-0.87,9.31
593,0,0,-1.13,0
594,0,0,-1.46,0
595,0,0,-1.97,0
596,0,0,-2.34,0
597,0,0,-2.53,0
598,0,0,-2.72,0
599,0,0,-2.65,0
600,0,0,-3.07,0
601,0,0,-3.39,0
602,0,0,-3.55,0
603,0,0,-3.54,0
604,0,0,-4.06,0
605,0,0,-4.14,0
606,0,0,-4.09,0
607,0,0,-4.2,0
608,0,10.14,-4.35,10.14
609,0,44.35,-4.26,44.35
610,0,80.06,-3.62,80.06
611,8.4,104.62,-2.69,113.02
612,42.21,108.31,-1.95,150.52
613,34.63,127.18,-1.41,161.81
614,7.34,72.63,-1.01,79.97
615,5.94,52.02,-1.03,57.96
616,27.71,12.75,-1.16,40.46
617,0,0,-1.48,0
618,0,0,-1.8,0
619,0,0,-2.05,0
620,0,0,-2.33,0
621,0,0,-2.38,0
622,0,0,-2.32,0
623,0,0,-2.49,0
624,0,0,-2.51,0
625,0,0,-2.41,0
626,0,0,-2.22,0
627,0,0,-2.07,0
628,0,0,-1.99,0
629,0,0,-1.79,0
630,0,0,-1.63,0
631,0,0,-1.48,0
632,0,4.18,-1.16,4.18
633,0,19.36,-0.84,19.36
634,0,33.17,-0.32,33.17
635,0.08,45.15,0.18,45.23
636,0,78.02,0.59,78.02
637,0,56.4,0.87,56.4
638,3.08,49.76,0.87,52.84
639,0.53,23.25,0.84,23.78
640,0,5.55,0.65,5.55
641,0,0,0.43,0
642,0,0,0.28,0
643,0,0,0.15,0
644,0,0,-0.11,0
645,0,0,-0.31,0
646,0,0,-0.49,0
647,0,0,-0.69,0
648,0,0,-0.88,0
649,0,0,-1.18,0
650,0,0,-1.77,0
651,0,0,-2.52,0
652,0,0,-3.42,0
653,0,0,-4.24,0
654,0,0,-4.74,0
655,0,0,-4.93,0
656,0,12.56,-5.09,12.56
657,0,39.65,-3.94,39.65
658,0,72.46,-3.2,72.46
659,22.61,75.74,-3.86,98.35
660,61.61,111.5,-1.87,173.11
661,54.79,121.5,-1.42,176.29
662,17.41,95.84,-1.26,113.25
663,56.16,64.85,-1.23,121.01
664,28.79,16.16,-1.3,44.95
665,0,0,-2.28,0
666,0,0,-3.21,0
667,0,0,-4.33,0
668,0,0,-5.11,0
669,0,0,-6,0
670,0,0,-6.56,0
671,0,0,-7.06,0
672,0,0,-7.57,0
673,0,0,-7.77,0
674,0,0,-8.15,0
675,0,0,-7.6,0
676,0,0,-7.06,0
677,0,0,-7,0
678,0,0,-6.64,0
679,0,0,-5.41,0
680,0,10.91,-3.94,10.91
681,0,36.95,-2.96,36.95
682,0,74.95,-2.14,74.95
683,1.73,111.21,-1.44,112.94
684,73.81,94.62,-0.8,168.43
685,35.18,113.88,-0.29,149.06
686,48.85,97.88,-0.12,146.73
687,19.65,62.79,0,82.44
688,17.58,15.94,-0.13,33.52
689,0,0,-0.68,0
690,0,0,-1,0
691,0,0,-1.44,0
692,0,0,-2.11,0
693,0,0,-2.28,0
694,0,0,-2.42,0
695,0,0,-2.2,0
696,0,0,-1.88,0
697,0,0,-1.4,0
698,0,0,-0.57,0
699,0,0,0.03,0
700,0,0,0.39,0
701,0,0,0.93,0
