timestep,temperature,heat demand,demand_el,pv,collector_heat
120,7.45,1.687025335,130.4748817,0,0
121,7.44,1.457390197,113.8259633,0,0
122,7.49,1.532513403,140.9507683,0,0
123,7.6,1.607636609,166.792255,0,0
124,7.83,1.848030868,184.7358967,0,0
125,8.04,2.501602761,131.5351317,0,0
126,8.23,3.696061737,103.3518917,0,0
127,8.29,4.680175736,101.1419,0,0
128,8.64,4.334608988,96.413605,0,0
129,8.85,3.951480638,76.59237167,0,0
130,9.09,3.643475493,139.2074967,0,0
131,9.17,3.373031951,541.7238617,0.026807328,4.480560248
132,9.3,3.245322501,782.9750583,0.059133676,0
133,9.25,3.192736257,568.58662,0.033768756,0
134,9.18,3.192736257,584.4526967,0.0216483,0
135,9.3,3.290396424,285.5140933,0.018706608,0
136,9.11,3.455667478,209.3153067,0.005026621,0
137,8.84,3.620938531,428.9053717,0,0
138,8.36,3.846308149,801.9770733,0,0
139,8.17,3.943968317,671.86696,0,0
140,8.4,3.951480638,611.7336783,0,0
141,8.28,3.756160302,468.0040483,0,0
142,8.19,3.23029786,229.97761,0,0
143,8.11,2.163548334,159.4235,0,0
144,8.16,1.62266125,125.826855,0,0
145,8.24,1.494503369,126.8841067,0,0
146,7.84,1.571539625,154.2757933,0,0
147,7.95,1.648575881,184.8506333,0,0
148,7.75,1.8950919,185.4624483,0,0
149,7.65,2.565307329,182.487765,0,0
150,7.56,3.790183801,146.35128,0,0
151,7.44,4.799358756,153.9018033,0,0
152,7.03,4.444991978,116.388985,0,0
153,6.8,4.052107072,110.390925,0,0
154,7.25,3.736258421,410.1374517,0.026195409,0
155,8.14,3.458927899,464.9452433,0.04879524,25.83668175
156,8.72,3.327966264,306.8122083,0.080075653,67.06401986
157,9.3,3.274040885,396.6532083,0.046041149,75.54484815
158,9.39,3.274040885,504.7446867,0.028676953,53.91348594
159,9.17,3.374188018,442.9108983,0.002947345,0
160,8.45,3.543667781,422.3438767,0.008129697,0
161,7.2,3.713147545,337.0456117,0,0
162,6.49,3.944256313,345.5124583,0,0
163,5.95,4.044403446,609.0873617,0,0
164,6.88,4.052107072,721.8574417,0,0
165,6.85,3.851812806,820.5768217,0,0
166,6.38,3.312559013,454.190245,0,0
167,6.27,2.218644176,145.2745433,0,0
168,6.51,1.663983132,121.4543917,0,0
169,6.48,1.592152062,113.9093783,0,0
170,6.55,1.674221756,133.775825,0,0
171,6.29,1.75629145,159.825685,0,0
172,6.14,2.01891447,162.9673633,0,0
173,6,2.732920808,157.094275,0,0
174,5.96,4.037828941,136.10774,0,0
175,6.04,5.112941931,126.0333417,0,0
176,6.6,4.735421339,111.43715,0,0
177,6.82,4.3168659,104.1593033,0,0
178,7.14,3.980380155,511.6306717,0,0
179,7.43,3.684929257,882.9119867,0.008612506,0
180,7.97,3.545410777,372.72359,0.046684164,0
181,8.26,3.487961992,455.5830933,0.044109096,0
182,8.45,3.487961992,249.39465,0.038182486,0
183,8.38,3.594652594,172.1542417,0.026152323,0
184,8.27,3.77520592,223.6337333,0.010795467,0
185,7.73,3.955759247,662.7653783,0,0
186,7.37,4.201968329,757.2368483,0,0
187,7.11,4.308658931,495.8017017,0,0
188,6.68,4.3168659,575.59657,0,0
189,6.39,4.103484696,569.5835383,0,0
190,6.09,3.528996839,370.255265,0,0
191,5.67,2.363607185,165.7429033,0,0
192,4.95,1.772705389,97.71814667,0,0
193,4.11,1.798041164,105.9175183,0,0
194,4.41,1.890723698,130.33412,0,0
195,4.83,1.983406232,145.72602,0,0
196,5.01,2.279990342,156.3509883,0,0
197,5.22,3.08632839,160.9812717,0,0
198,5.06,4.559980684,140.4679417,0,0
199,5.12,5.774121882,145.7150867,0,0
200,6.16,5.347782224,114.6151767,0,0
201,5.96,4.8751013,110.0848517,0,0
202,5.74,4.49510291,622.2915417,0.019333013,0
203,5.83,4.161445786,888.86327,0.061666279,16.21410412
